Company,Series_Type
filmloop,Series_A
lumoslabs,Series_A
sendhub,Series_A
forushealth,Series_A
dailymotion,Series_A
stackdriver,Series_A
wovensystems,Series_A
elastra,Series_A
openxchange,Series_A
carnegiespeech,Series_A
goodguide,Series_A
fix8,Series_A
clearslide,Series_A
scalecomputing,Series_A
guidespark,Series_A
lendkeytechnologies,Series_A
openx,Series_A
unboundid,Series_A
angioslide,Series_A
nationbuilder,Series_A
vobile,Series_A
balluun,Series_A
twistbioscience,Series_A
radiumone,Series_A
littleblackbag,Series_A
pinpointsoftware,Series_A
reachable,Series_A
loxooncology,Series_A
glycosbiotechnologies,Series_A
dxterity,Series_A
yipit,Series_A
travelbird,Series_A
quantiamd,Series_A
boxfish,Series_A
panoptica,Series_A
kiip,Series_A
mosaic,Series_A
gridgainsystems,Series_A
cozigroup,Series_A
livinglymedia,Series_A
iproflearningsolutionsindia,Series_A
shopigniter,Series_A
houseparty,Series_A
naturebox,Series_A
milyoni,Series_A
poshmark,Series_A
immunedesign,Series_A
placeiq,Series_A
stellaris,Series_A
worktopia,Series_A
healthlinenetworks,Series_A
cirtassystems,Series_A
travelshark,Series_A
cloudon,Series_A
inclinetherapeutics,Series_A
autovirt,Series_A
inmagic,Series_A
spectraanalysis,Series_A
greensql,Series_A
seatwave,Series_A
envista,Series_A
spacecurve,Series_A
optimizely,Series_A
virtualcomputer,Series_A
exindanetworks,Series_A
speeddate,Series_A
glasshousetechnologies,Series_A
fraudwalltechnologies,Series_A
arcotsystems,Series_A
viadeo,Series_A
mediaplatform,Series_A
wikinvest,Series_A
prospx,Series_A
icetana,Series_A
miso,Series_A
jimubox,Series_A
kupongid,Series_A
alethiabiotherapeutics,Series_A
bookshout,Series_A
turnhere,Series_A
tapjoy,Series_A
bellabox,Series_A
sialix,Series_A
applause,Series_A
lifeshieldsecurity,Series_A
bettercloud,Series_A
airshipventures,Series_A
crowdtwist,Series_A
bloomreach,Series_A
sakti3,Series_A
supplyframe,Series_A
outspark,Series_A
thefind,Series_A
opengamma,Series_A
revision3,Series_A
travelata,Series_A
anchorfree,Series_A
scribd,Series_A
infoscout,Series_A
tenxer,Series_A
astaro,Series_A
silverpeaksystems,Series_A
spanning,Series_A
optoro,Series_A
simplilearn,Series_A
articleonepartners,Series_A
tradesy,Series_A
cloudmade,Series_A
140proof,Series_A
challengegames,Series_A
trellianetworks,Series_A
gliknik,Series_A
appcelerator,Series_A
respiratorymotion,Series_A
mydocket,Series_A
appfirst,Series_A
causata,Series_A
crowdtap,Series_A
etaoshi,Series_A
mixbook,Series_A
