,Company,-1,0,1,Series_Type
0,140proof,0.0,0.0,1.0,Series_A
1,2c2p,0.0,0.0,1.0,Series_C
2,36kr,0.0,0.0,1.0,Series_C
3,4home,0.0,0.0,1.0,Series_A
4,6fusion,0.0,0.0,1.0,Series_B
5,6sense,0.0,0.0,1.0,Series_B
6,8thbridge,0.0,0.0,1.0,Series_A
7,8thbridge,0.0,0.0,1.0,Series_B
8,abiquo,0.0,0.0,1.0,Series_B
9,ablelending,0.0,0.0,1.0,Series_B
10,accellion,0.0,0.0,1.0,Series_C
11,accertify,0.0,1.0,0.0,Series_B
12,accuvein,0.0,0.0,1.0,Series_B
13,acemetrix,0.0,0.0,1.0,Series_A
14,acemetrix,0.0,0.0,1.0,Series_C
15,achievers,0.0,0.0,1.0,Series_A
16,actonsoftware,0.0,0.0,1.0,Series_C
17,acumatica,0.0,0.0,1.0,Series_C
18,adaptivecomputing,0.0,0.0,1.0,Series_A
19,adbrite,0.0,0.0,1.0,Series_B
20,adeven,0.0,0.0,1.0,Series_B
21,admeld,0.0,0.0,1.0,Series_B
22,adometry,0.0,0.0,1.0,Series_C
23,adometry,0.0,0.0,1.0,Series_D
24,adready,0.0,0.0,1.0,Series_C
25,adscale,0.0,1.0,0.0,Series_B
26,adzcentral,0.0,0.0,1.0,Series_B
27,affectiva,0.0,0.0,1.0,Series_B
28,affectiva,0.0,0.0,1.0,Series_C
29,agrivida,0.0,0.0,1.0,Series_C
30,aicent,0.0,0.0,1.0,Series_C
31,airshipventures,0.0,0.0,1.0,Series_A
32,akimbo,0.0,0.0,1.0,Series_D
33,alertenterprise,0.0,0.0,1.0,Series_B
34,alertlogic,0.0,0.0,1.0,Series_A
35,alertlogic,0.0,0.0,1.0,Series_B
36,alienvault,0.0,0.0,1.0,Series_A
37,alpinedatalabs,0.0,0.0,1.0,Series_A
38,altruik,0.0,0.0,1.0,Series_A
39,amec,0.0,0.0,1.0,Series_B
40,anchorfree,0.0,0.0,1.0,Series_A
41,angioslide,0.0,0.0,1.0,Series_A
42,apalya,0.0,0.0,1.0,Series_B
