Total_Likes,Total_Retweets,Series_Amount,tweet_count,get_dayrange,get_dayiqr,likes_mean,retweets_mean,persontag_count_mean,hashtag_count_mean,text_length_mean,persontags_count_mean,hashtags_count_mean,links_count_mean,self_mention_mean,self_tweet_mean,likes_std,retweets_std,persontag_count_std,hashtag_count_std,text_length_std,persontags_count_std,hashtags_count_std,links_count_std,self_mention_std,self_tweet_std,is_Biotechnology,is_Software,is_Health Care,is_Enterprise Software,is_Clean Technology,is_Hardware + Software,is_Semiconductors,is_Curated Web,is_Mobile,is_Web Hosting,is_Series_A,is_Series_B,is_Series_C,is_Series_D,mean_neg,mean_pos,total_neg,total_pos,Total_Likes_scaled,Total_Retweets_scaled,Series_Amount_scaled,tweet_count_scaled,get_dayrange_scaled,get_dayiqr_scaled,likes_mean_scaled,retweets_mean_scaled,persontag_count_mean_scaled,hashtag_count_mean_scaled,text_length_mean_scaled,persontags_count_mean_scaled,hashtags_count_mean_scaled,links_count_mean_scaled,self_mention_mean_scaled,self_tweet_mean_scaled,likes_std_scaled,retweets_std_scaled,persontag_count_std_scaled,hashtag_count_std_scaled,text_length_std_scaled,persontags_count_std_scaled,hashtags_count_std_scaled,links_count_std_scaled,self_mention_std_scaled,self_tweet_std_scaled,is_Biotechnology_scaled,is_Software_scaled,is_Health Care_scaled,is_Enterprise Software_scaled,is_Clean Technology_scaled,is_Hardware + Software_scaled,is_Semiconductors_scaled,is_Curated Web_scaled,is_Mobile_scaled,is_Web Hosting_scaled,is_Series_A_scaled,is_Series_B_scaled,is_Series_C_scaled,is_Series_D_scaled,mean_neg_scaled,mean_pos_scaled,total_neg_scaled,total_pos_scaled
230,134,15000000,213,13,7,1.863849765,1.521126761,0.957746479,1.098591549,130.5164319,0.9342723,1.093896714,0.840375587,0.436619718,0.145539906,5.780192121,7.009816207,1.087275716,1.882052244,38.45146368,1.079569735,1.876018045,0.458529077,0.515762699,0.353475086,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.038289746,0.068850256,0.010989011,0.082417582,5.490498848,14.63950639,131.530705,5.604620652,2.919821443,2.166752942,0.277494716,0.444905358,0.514836553,0.459288771,11.35200933,0.497760467,0.451868232,0.811683964,0.130783731,0.075215249,0.616412322,0.975504855,0.571855098,1.166297105,1.6432846,0.567139861,1.198732178,1.311421552,0.412411103,0.242416031,0,0,0,0,0,0,0.011027341,0,0,0,0,0,0.146929699,0,0.023805977,0.041962266,0.009405744,0.055760029
15,23,5500000,163,1,1,0.09202454,0.141104294,0.582822086,1.515337423,181.8957055,0.552147239,1.490797546,0.914110429,0.18404908,0.049079755,0.348006952,0.656188965,0.822642167,1.113086179,43.44566828,0.771029248,1.09074727,0.302229841,0.388718436,0.21670031,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.019701217,0.046835995,0.006329114,0.006329114,2.785031338,6.249428431,106.6860572,5.315116228,0.711572489,0.702672319,0.075717536,0.117217884,0.381770099,0.51531782,12.91369019,0.363213212,0.503920595,0.88074716,0.098722059,0.038261556,0.23949097,0.410240747,0.487835488,0.800977427,1.660523856,0.467299475,0.805123959,0.608540962,0.326192208,0.169517571,0,0,0,0,0,0,0,0,0,0,0,0.533597491,0,0,0.015238094,0.033028684,0.005779902,0.006124822
58,21,20000,173,83,43,1.312138728,0.393063584,0.36416185,0.520231214,149.6647399,0.289017341,0.427745665,0.630057803,0.023121387,0,12.93614562,2.761099878,0.792617842,1.009199518,85.56979182,0.680069819,0.896851148,0.518964193,0.150725271,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.036363951,0.058589433,0.051546392,0.077319588,4.104486748,5.957199435,31.28091582,5.379401416,5.260370915,4.079996048,0.269587905,0.248309806,0.273716862,0.316081199,11.97650988,0.227012208,0.277611206,0.613061446,0.021110921,0,0.639419854,0.794741356,0.476968718,0.743542579,1.739573553,0.431885121,0.690736299,1.694232062,0.139991262,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146929699,0,0.023102131,0.038169081,0.026871095,0.053475419
2,28,7000000,177,251,131,0.011299435,0.15819209,0.593220339,0.468926554,108.6214689,0.564971751,0.463276836,0.576271186,0.384180791,0.050847458,0.105996385,0.462027532,0.894147208,0.78363625,32.63413216,0.896656748,0.776103684,0.539467009,0.487780841,0.22030935,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.021415361,0.037836936,0,0,1.100562343,6.919969488,112.2105087,5.404102914,6.859861007,5.382638787,0.011017121,0.128724669,0.386229192,0.296624848,10.55533744,0.368736649,0.291959058,0.561849477,0.127480385,0.039307152,0.09333568,0.324586448,0.512519495,0.609930032,1.618482394,0.511339304,0.614897876,1.841144937,0.394084435,0.171708517,0,0,0,0,0,0.010239674,0,0,0,0,0,0.533597491,0,0,0.016218315,0.028413854,0,0
42,43,12000000,215,47,24,0.195348837,0.241860465,0.646511628,0.497674419,104.4976744,0.595348837,0.451162791,0.181395349,0.102325581,0,0.55448616,1.066532629,0.782802549,1.167609662,74.45721813,0.748192054,1.06612498,0.386244689,0.303783288,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.032786901,0.070523441,0.016216216,0.113513514,3.784122321,8.582139423,125.5657345,5.614763315,4.495133807,3.43128845,0.132558595,0.178718525,0.408271333,0.307725065,10.39320653,0.381483338,0.28716438,0.179789684,0.070465797,0,0.32038095,0.541618493,0.473348193,0.830200488,1.725436919,0.458708071,0.791060629,0.940555256,0.263840501,0,0,0,0,0,0,0,0,0,0,0,0.213086335,0,0,0,0.021695446,0.042526857,0.012932708,0.067519742
20,46,10100000,155,19,9,0.858064516,0.864516129,1.477419355,0.206451613,115.2064516,1.432258065,0.180645161,0.896774194,0.083870968,0.090322581,6.114108349,4.032461495,1.456447751,0.505768981,29.27072399,1.432549969,0.476335685,0.397625967,0.278092732,0.287572508,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.022184474,0.07953645,0.01459854,0.160583942,3.05952987,8.870530703,121.1370008,5.260847513,3.360890625,2.409958433,0.252292673,0.371114311,0.637212321,0.164845146,10.8056996,0.612237777,0.147443926,0.864534561,0.061446093,0.058379881,0.618859512,0.878355727,0.662562241,0.424791005,1.600942012,0.653939974,0.407907228,0.993281293,0.244145307,0.209730703,0,0,0,0,0,0,0,0,0,0,0,0.533597491,0,0,0.016643649,0.045335534,0.011897362,0.07992809
18,54,3000000,194,415,168,0.149484536,0.463917526,0.891752577,0.520618557,100.2216495,0.829896907,0.494845361,0.412371134,0.139175258,0.087628866,0.929273348,2.218910042,1.490430275,1.044148575,49.9034025,1.445712973,1.044340398,0.51410322,0.347024868,0.283485973,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.040220984,0.062626962,0.023391813,0.064327485,2.958474429,9.5881757,93.92346248,5.50332921,7.634826986,5.683452489,0.110155788,0.274107582,0.494930013,0.316222079,10.22039186,0.466314192,0.30400607,0.404642193,0.08522992,0.057304233,0.413700527,0.740787751,0.669741287,0.763130743,1.678892623,0.656754501,0.778510712,1.660723853,0.296096049,0.207563675,0,0,0,0,0,0,0,0,0,0,0.213086335,0,0,0,0.024476703,0.039732455,0.01698802,0.047114406
17,52,6000000,178,408,159,0.095505618,0.348314607,0.679775281,0.275280899,88.98876404,0.668539326,0.264044944,0.320224719,0.106741573,0.016853933,0.407392178,1.160567985,1.218379008,0.635624325,52.11861621,1.215353335,0.631516369,0.46787892,0.30965545,0.129087151,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.016549351,0.026752983,0,0.048780488,2.9038957,9.415113292,108.6485948,5.410192941,7.60810876,5.616578815,0.078040276,0.230003361,0.421379448,0.20577022,9.74096914,0.410382551,0.19840553,0.315435074,0.072449001,0.015420209,0.265854147,0.565173283,0.607029685,0.514517556,1.684399227,0.603358167,0.518705271,1.366018111,0.268285567,0.110829127,0,0,0,0,0,0,0,0,0,0,0,0.533597491,0,0,0.013313169,0.021766377,0,0.038354255
11,6,2050000,167,225,85,0.065868263,0.035928144,1.017964072,0.461077844,94.47305389,1.017964072,0.449101796,0.413173653,0.299401198,0.125748503,0.293251908,0.394116605,1.253780086,1.010478254,35.94872761,1.253780086,0.991886863,0.505934766,0.459373199,0.332562898,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.020209279,0.071926534,0,0.131578947,2.49489805,2.901470194,86.6629301,5.341281247,6.695341782,4.867914177,0.057145181,0.034178197,0.531958035,0.29350247,9.979915286,0.520739562,0.286338819,0.4054164,0.119437345,0.07017793,0.21243098,0.289446019,0.61592274,0.744264185,1.633342359,0.612919595,0.747867112,1.605528067,0.375108208,0.232485778,0,0,0,0,0,0,0,0,0,0,0.213086335,0,0,0,0.015533357,0.042989461,0,0.072926171
4,0,4700000,153,422,168,0.026143791,0,0.241830065,0.013071895,100.6862745,0.235294118,0,0.352941176,0,0,0.160086836,0,0.459206177,0.113955676,35.48822462,0.455445211,0,0.479454024,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.062574405,0.033688447,0.125,0,1.613625319,0,103.2262581,5.246852498,7.661132701,5.683452489,0.024672111,0,0.198218989,0.012868683,10.23941133,0.19246569,0,0.347179809,0,0,0.132771371,0,0.331038714,0.1089745,1.631401068,0.328283601,0,1.435879537,0,0,0,0,0,0,0,0,0,0,0,0,0.213086335,0,0,0,0.030202212,0.026059521,0.034188977,0
42,71,10000000,178,39,19,0.235955056,0.45505618,1.112359551,0.595505618,112.3595506,1.033707865,0.58988764,0.685393258,0.08988764,0.140449438,0.552804292,1.068661049,1.381379007,1.010890988,34.33640396,1.385554515,1.011408923,0.489332663,0.286827551,0.348432844,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.043922479,0.076601414,0,0.1,3.784122321,10.92388137,120.8859829,5.410192941,4.25271155,3.179167438,0.149394432,0.271075094,0.556992873,0.341918398,10.69869683,0.524861507,0.336759133,0.665565157,0.064522618,0.074008402,0.319830897,0.54217353,0.646082308,0.744497016,1.626378373,0.643672591,0.759343369,1.497539987,0.250887566,0.240057257,0,0,0,0,0,0,0,0,0,0,0,0,0.146929699,0,0.025670503,0.044462241,0,0.062833066
7,42,15000000,177,136,63,0.039548023,0.237288136,0.751412429,0.333333333,105.4180791,0.644067797,0.327683616,0.525423729,0.152542373,0.118644068,0.246834089,0.564246774,1.074133231,0.645497224,39.39723846,1.04058624,0.644003592,0.500769823,0.360565811,0.324286582,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.020985861,0.041653745,0,0.076923077,2.086435289,8.483336548,131.530705,5.404102914,5.956224366,4.517972406,0.036258716,0.176231966,0.448057086,0.236361693,10.42976817,0.400991823,0.232057594,0.513268749,0.089697645,0.068125032,0.187105741,0.372133434,0.568119251,0.521097637,1.64679614,0.555974722,0.527264758,1.571336611,0.305975541,0.228446077,0,0,0,0,0,0,0,0,0,0,0,0,0.146929699,0,0.015976938,0.030449894,0,0.053292955
16,13,5300000,166,137,70,0.096385542,0.078313253,0.801204819,0.228915663,112.6927711,0.759036145,0.228915663,0.728915663,0.018072289,0.174698795,0.352117674,0.291099563,1.096660935,0.994838817,30.57720792,1.068449587,0.994838817,0.459256348,0.133615984,0.380858161,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.02380955,0.02843333,0,0.044444444,2.846206891,4.587679638,105.8609121,5.334797919,5.966764902,4.640444568,0.078622142,0.070411446,0.465452335,0.178810987,10.71131654,0.442951281,0.177976471,0.706734331,0.016825921,0.081124185,0.241410794,0.229644114,0.574498293,0.735412699,1.608091673,0.563992101,0.74960796,1.315610483,0.125092331,0.254847505,0,0,0,0,0,0,0,0,0,0,0,0,0.146929699,0,0.017513958,0.022849735,0,0.035660106
8,6,6150000,183,330,180,0.043715847,0.032786885,0.37704918,0.93442623,106.442623,0.360655738,0.93442623,0.573770492,0.153005464,0.071038251,0.230268277,0.178566925,0.633252578,1.524908779,30.90922082,0.629829566,1.524908779,0.538384327,0.360980403,0.257593499,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.032199158,0.059751738,0.049079755,0.079754601,2.205034028,2.901470194,109.2117916,5.44014958,7.277818377,5.76748279,0.039725667,0.031323919,0.280953197,0.429019909,10.47021019,0.269040508,0.42335306,0.559464111,0.089845044,0.050004464,0.177477339,0.153337775,0.413604033,1.008064255,1.609837435,0.410866073,1.034458366,1.833156967,0.306276411,0.193418359,0,0,0,0,0,0,0,0,0,0,0,0.533597491,0,0,0.021451254,0.03862902,0.026282457,0.054580705
2,0,4520000,201,590,240,0.009950249,0,0.313432836,0.024875622,91.31343284,0.308457711,0.019900498,0.457711443,0.129353234,0,0.099501244,0,0.596882448,0.185413348,29.8586046,0.595296657,0.172052289,0.547222748,0.336428417,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.022425277,0.037413499,0,0.088235294,1.100562343,0,102.3834728,5.541733566,8.195396016,6.120644672,0.009730793,0,0.243972284,0.024149342,9.843450034,0.238849007,0.019424005,0.448312104,0.081667589,0,0.088267556,0,0.397631504,0.17272755,1.604215994,0.39575659,0.161747776,1.899133155,0.288292498,0,0,0,0,0,0,0,0,0,0,0,0,0.533597491,0,0,0.016775021,0.028180452,0,0.058233488
24,54,3000000,174,290,118,0.137931034,0.540229885,0.511494253,0.327586207,126.4712644,0.494252874,0.32183908,0.683908046,0.011494253,0,0.592289841,2.39848024,1.110842547,0.72258202,28.11345268,1.105671801,0.721178433,0.502105063,0.106900945,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.018014394,0.042837969,0,0.023529412,3.235654517,9.5881757,93.92346248,5.38562877,7.079340382,5.257288687,0.103853422,0.298204863,0.349672865,0.233476827,11.21213533,0.337160029,0.229132811,0.664158314,0.010980267,0,0.332357446,0.760418933,0.578454004,0.57138974,1.594206142,0.574415388,0.579088531,1.580123635,0.101354115,0,0,0.025993019,0,0,0,0,0,0,0,0,0,0.533597491,0,0,0.014228286,0.031057519,0,0.020879205
37,93,3200000,196,1,0,0.18877551,0.663265306,0.93877551,0.566326531,150.255102,0.913265306,0.540816327,0.908163265,0,0,0.640573886,3.071603198,0.676587615,0.883285693,56.72042299,0.66226306,0.873171259,0.323022098,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.026577684,0.047021171,0.005617978,0.061797753,3.659023565,12.39045609,95.20987194,5.514438544,0.711572489,0,0.129584483,0.33063277,0.50924121,0.332258414,11.99486754,0.491693368,0.320469403,0.875187184,0,0,0.346643665,0.819607175,0.431855964,0.670571382,1.6947962,0.424561088,0.67616103,0.681937625,0,0,0,0,0,0,0,0.010239674,0,0,0,0,0.213086335,0,0,0,0.018911827,0.03311707,0.005182243,0.045778983
101,109,3200000,210,2,1,0.523809524,0.561904762,0.776190476,0.385714286,118.9142857,0.704761905,0.380952381,0.9,0,0,1.249652492,1.271128117,1.421773528,0.71134734,47.78122277,1.379437577,0.7037963,0.358759159,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.040123872,0.054602813,0.021164021,0.037037037,4.659664577,13.3285641,95.20987194,5.589230426,1.145377916,0.702672319,0.219791976,0.304446876,0.456825027,0.261331332,10.94237573,0.423812477,0.257319258,0.867552451,0,0,0.463552852,0.590550945,0.655059166,0.564176273,1.673265001,0.64231041,0.567573852,0.821229978,0,0,0,0,0,0,0,0.010239674,0,0,0,0,0,0.533597491,0,0,0.024443787,0.036528131,0.015816879,0.030778158
12,54,5700000,155,76,48,0.077419355,0.348387097,0.75483871,0.567741935,116.3806452,0.735483871,0.561290323,0.75483871,0.141935484,0.122580645,0.291335569,0.936930249,1.015093467,0.821934326,37.38502217,1.006971926,0.814510218,0.513985389,0.350115188,0.329018293,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.033720443,0.087445433,0.055555556,0.277777778,2.575595719,9.5881757,107.4875425,5.260847513,5.13925938,4.20514534,0.065598288,0.230034416,0.449283007,0.332737023,10.84930442,0.434785562,0.327419237,0.731204418,0.086187212,0.069279813,0.211431,0.505701979,0.550822309,0.633557075,1.639168516,0.546046811,0.639437059,1.659917779,0.298359826,0.230763421,0,0,0,0,0,0,0,0,0,0,0,0.533597491,0,0,0.022075547,0.047507033,0.027745908,0.095403764
29,15,38000000,174,223,115,0.166666667,0.086206897,0.551724138,0.896551724,80.58045977,0.505747126,0.879310345,0.172413793,0.206896552,0,0.589732312,0.301315963,0.725403945,1.747232214,44.42792263,0.677867503,1.711007406,0.393792779,0.40624976,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.034716454,0.062010148,0.023121387,0.069364162,3.419934321,4.967692096,159.4556347,5.38562877,6.681971709,5.2264965,0.119015999,0.076719798,0.368108315,0.421131123,9.354236907,0.342483813,0.412097787,0.170958906,0.104154072,0,0.331569943,0.235965488,0.451470226,1.108560009,1.66357153,0.430986584,1.123561906,0.975299716,0.338567237,0,0,0,0.014178011,0,0,0,0,0,0,0,0,0,0.146929699,0,0.02247082,0.039499782,0.016849798,0.049676565
58,58,25000000,158,72,31,0.367088608,0.424050633,0.443037975,1.17721519,122.9556962,0.32278481,1.164556962,0.765822785,0.069620253,0.050632911,1.054891128,1.355781692,0.877849652,1.754045324,53.55957989,0.846641829,1.737047644,0.467650606,0.255315182,0.219944068,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.024857968,0.030211777,0.015037594,0.015037594,4.104486748,9.923056605,146.232092,5.281512474,5.065398658,3.712793354,0.189723166,0.260040358,0.316147152,0.471854753,11.08805776,0.24736096,0.462867902,0.741561488,0.053584889,0.039181256,0.435601715,0.608487836,0.507035593,1.111532852,1.687797629,0.494427593,1.135653136,1.364665583,0.226335595,0.171487509,0,0,0,0.022054683,0,0,0,0,0,0,0,0.533597491,0,0,0.018055629,0.023965667,0.012183143,0.013921105
12,61,12000000,227,1,1,0.052863436,0.268722467,0.215859031,0.484581498,101.7312775,0.207048458,0.462555066,0.251101322,0,0,0.260748062,0.908679703,0.525554522,0.80015495,35.04488954,0.512104466,0.771252625,0.444669633,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.044374651,0.039307877,0,0,2.575595719,10.16517586,125.5657345,5.67374443,0.711572489,0.702672319,0.04711969,0.19281684,0.180408143,0.302733919,10.28196999,0.173133508,0.291676122,0.248092677,0,0,0.194945651,0.497275313,0.364418772,0.620171331,1.62949669,0.356919664,0.611769562,1.233422298,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533597491,0,0,0.02580852,0.029212821,0,0
15,66,5700000,157,332,186,0.095541401,0.420382166,1.012738854,0.484076433,125.6305732,0.993630573,0.47133758,0.78343949,0.146496815,0.210191083,0.335571451,0.76062886,1.143472339,0.813390305,38.06611769,1.135086212,0.813038851,0.484615514,0.354735124,0.408748044,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.02451912,0.045963206,0.007936508,0.031746032,2.785031338,10.55322195,107.4875425,5.274667095,7.287149009,5.807510228,0.07806398,0.2586894,0.530509548,0.302539253,11.18268168,0.514247222,0.295095695,0.758158618,0.087728908,0.086480977,0.233591806,0.449041225,0.587384591,0.62832158,1.641816992,0.58242943,0.638504316,1.467859155,0.301734065,0.266885,0,0,0,0,0,0,0,0,0,0,0,0.533597491,0,0,0.017882224,0.032608683,0.007086234,0.027061293
7,0,8000000,196,1,1,0.117346939,0,0.234693878,0.112244898,104.3418367,0.224489796,0.102040816,0.260204082,0,0,1.228509667,0,0.459677042,0.543165519,30.11227682,0.453603515,0.50616296,0.439869397,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.046664683,0.064733466,0.08,0.12,2.086435289,0,115.3860936,5.514438544,0.711572489,0.702672319,0.091881421,0,0.193393373,0.098766472,10.38699431,0.185170867,0.090579558,0.256982576,0,0,0.460816432,0,0.331284765,0.451261269,1.605599644,0.327320447,0.429873772,1.207204241,0,0,0,0.025993019,0,0,0,0,0,0,0,0,0.213086335,0,0,0,0.02648286,0.040510849,0.031419486,0.069566399
7,29,7300000,200,0,0,0.035,0.34,0.365,0.195,94.24,0.32,0.19,0.255,0,0,0.30699549,2.48298734,1.013365456,0.53704477,38.7946844,0.965536797,0.515001098,0.448307818,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.036485942,0.047714943,0.033333333,0.055555556,2.086435289,7.045358883,113.1993506,5.536328143,0,0,0.032403203,0.226409705,0.274191291,0.157481199,9.969957254,0.245720193,0.153599756,0.251901008,0,0,0.219493864,0.769007794,0.550302955,0.446965086,1.64457357,0.533405896,0.436318691,1.253564295,0,0,0,0.025993019,0,0,0,0,0,0,0,0,0,0.533597491,0,0,0.02314779,0.03344598,0.021397267,0.042337838
3,12,9000000,202,67,33,0.014851485,0.059405941,0.806930693,0.158415842,97.34158416,0.772277228,0.103960396,0.198019802,0.024752475,0,0.121258852,0.309767436,1.011058991,0.932899756,36.38540456,1.001304504,0.416194748,0.399497246,0.155755862,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.04096614,0.075769292,0.031496063,0.11023622,1.389400374,4.385088643,118.2584998,5.547112725,4.967620739,3.782344777,0.014366895,0.054755978,0.467396386,0.132772489,10.10112803,0.447451545,0.092087554,0.196116693,0.022459138,0,0.104952668,0.241125825,0.549608552,0.699788332,1.635149587,0.544344559,0.362561698,1.002142943,0.144328114,0,0,0,0,0,0,0,0,0,0,0,0,0.533597491,0,0,0.024726487,0.044207589,0.020673185,0.066437375
36,0,4400000,172,6,4,0.308139535,0,0.261627907,0.110465116,100.877907,0.255813953,0.110465116,0.552325581,0.058139535,0.029069767,1.538337761,0,0.547331347,0.451774686,29.69754317,0.544747305,0.451774686,0.521631885,0.234690348,0.168492649,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003358844,0.021527778,0,0,3.632041535,0,101.8065805,5.373138748,2.095846303,1.661415981,0.173835955,0,0.211344742,0.097387095,10.24723831,0.20599197,0.097149911,0.538991962,0.046609311,0.024993507,0.49525563,0,0.374837317,0.385605315,1.603328493,0.372589606,0.389562546,1.712833769,0.209916494,0.138601026,0,0,0,0,0,0,0,0,0,0,0,0.533597491,0,0,0.003208714,0.018208704,0,0
9,17,25000000,170,3,1,0.052941176,0.1,0.417647059,0.194117647,118.3941176,0.4,0.194117647,0.811764706,0.082352941,0.029411765,0.224577571,0.355014793,1.018605204,0.513683286,29.76123865,1.011180106,0.513683286,0.421159786,0.2757138,0.169456863,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.009634863,0.028624095,0,0.010989011,2.311162426,5.319558481,146.232092,5.360505841,1.46130743,0.702672319,0.047181289,0.087436015,0.302960457,0.156906724,10.92337953,0.29038276,0.156271737,0.784808868,0.060647936,0.02524424,0.174093381,0.267738325,0.55187541,0.430437552,1.603680319,0.547305399,0.43535955,1.108808888,0.242300739,0.139251048,0,0,0,0,0,0,0,0,0,0,0,0,0.146929699,0,0.008468654,0.022970929,0,0.010383784
7,39,4000000,182,226,78,0.038461538,0.214285714,1.450549451,0.692307692,106.7637363,1.428571429,0.692307692,0.653846154,0.417582418,0.175824176,0.219627626,0.496634292,1.962430201,1.026632189,33.0421496,1.950451752,1.026632189,0.477055354,0.49452101,0.381720635,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.021655359,0.048754678,0,0.033898305,2.086435289,8.178184695,99.7879621,5.434222859,6.701985845,4.766944712,0.03534459,0.163317437,0.632056642,0.371112556,10.48283063,0.611554636,0.367056273,0.635654791,0.129696925,0.081321852,0.171117306,0.341356157,0.754594551,0.753347809,1.620429476,0.748019881,0.768233503,1.421192847,0.398531498,0.255228965,0,0,0,0,0,0,0,0,0,0,0.213086335,0,0,0,0.016351984,0.033932378,0,0.028597246
7,44,10000000,193,90,18,0.03626943,0.227979275,1.70984456,0.450777202,115.4611399,1.652849741,0.450777202,0.606217617,0.310880829,0.14507772,0.18744602,0.645371792,1.752604157,0.676165596,31.72127626,1.758522303,0.676165596,0.500377664,0.464057907,0.353095123,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.017958947,0.04601237,0,0.055045872,2.086435289,8.679574042,120.8859829,5.497732433,5.372486293,3.121524983,0.033487033,0.171088185,0.677882314,0.289342707,10.8151835,0.649824368,0.287010146,0.590384458,0.120782407,0.075108046,0.150997269,0.405962092,0.719961546,0.541333147,1.613993467,0.716728602,0.549083581,1.568762741,0.378263914,0.242239056,0,0,0,0,0,0,0,0,0,0,0,0.533597491,0,0,0.014194307,0.032632492,0,0.04204738
15,61,12000000,166,476,203,0.090361446,0.36746988,0.620481928,0.590361446,110.3493976,0.596385542,0.590361446,0.740963855,0.120481928,0.102409639,0.464787852,0.749077563,1.519749504,1.101361632,28.12243092,1.521478211,1.101361632,0.466199631,0.32650919,0.304103612,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.023173097,0.044489397,0.03125,0,2.785031338,10.16517586,125.5657345,5.334797919,7.851511267,5.914559258,0.074595992,0.238047736,0.397670828,0.340246414,10.62201892,0.381910228,0.336910401,0.718111944,0.078228531,0.062870097,0.288785417,0.444960911,0.675801378,0.794612793,1.594259958,0.672458987,0.811147396,1.356092783,0.280929099,0.218322328,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045684867,0.017177623,0.031886502,0.020573321,0
4,83,10000000,181,250,107,0.022099448,0.458563536,0.773480663,0.917127072,116.8453039,0.70718232,0.91160221,0.685082873,0.038674033,0.138121547,0.1474148,0.878569628,1.273038158,1.187333394,29.14710473,1.158256983,1.184590026,0.477550019,0.193351749,0.345984596,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.036074958,0.039371592,0.016393443,0.032786885,1.613625319,11.7533029,120.8859829,5.428264186,6.853829986,5.140483747,0.021040291,0.272281614,0.45587706,0.425463379,10.86647665,0.424690586,0.418789012,0.66527116,0.03329215,0.073436891,0.123954565,0.488036135,0.620660521,0.840623537,1.600241258,0.588609108,0.857587985,1.424212571,0.176130313,0.238903907,0,0,0,0,0,0,0,0,0,0,0,0.533597491,0,0,0.022993376,0.029247019,0.013043238,0.027808266
101,195,16000000,177,67,39,0.570621469,1.101694915,1.474576271,0.915254237,123.480226,1.395480226,0.892655367,0.576271186,0.11299435,0.152542373,0.88345664,1.336059104,1.335987023,1.171946743,42.72042975,1.297542223,1.160330214,0.495550308,0.31748401,0.360565811,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.034849615,0.054792729,0.016666667,0.091666667,4.659664577,17.3096059,133.3061881,5.404102914,4.967620739,3.96961358,0.226324278,0.405356309,0.636671652,0.425073687,11.10672359,0.605333456,0.414897099,0.561849477,0.075150375,0.076783828,0.404781018,0.604416418,0.635677711,0.832499075,1.658207235,0.623470788,0.844193174,1.537333662,0.274179419,0.245695784,0,0,0,0,0,0,0,0,0,0,0,0,0.146929699,0,0.022522878,0.03660859,0.013212541,0.059628853
