,company_name,Series,Total_Likes,Total_Retweets,Series_Amount,Market,tweet_count,get_dayrange,get_dayiqr,likes_mean,retweets_mean,persontag_count_mean,hashtag_count_mean,text_length_mean,persontags_count_mean,hashtags_count_mean,links_count_mean,self_mention_mean,self_tweet_mean,likes_std,retweets_std,persontag_count_std,hashtag_count_std,text_length_std,persontags_count_std,hashtags_count_std,links_count_std,self_mention_std,self_tweet_std,is_Biotechnology,is_Software,is_Health Care,is_Enterprise Software,is_Clean Technology,is_Hardware + Software,is_Semiconductors,is_Curated Web,is_Mobile,is_Web Hosting,is_Series_A,is_Series_B,is_Series_C,is_Series_D,mean_neg,mean_pos,total_neg,total_pos,Total_Likes_scaled,Total_Retweets_scaled,tweet_count_scaled,get_dayrange_scaled,get_dayiqr_scaled,likes_mean_scaled,retweets_mean_scaled,persontag_count_mean_scaled,hashtag_count_mean_scaled,text_length_mean_scaled,persontags_count_mean_scaled,hashtags_count_mean_scaled,links_count_mean_scaled,self_mention_mean_scaled,self_tweet_mean_scaled,likes_std_scaled,retweets_std_scaled,persontag_count_std_scaled,hashtag_count_std_scaled,text_length_std_scaled,persontags_count_std_scaled,hashtags_count_std_scaled,links_count_std_scaled,self_mention_std_scaled,self_tweet_std_scaled,is_Biotechnology_scaled,is_Software_scaled,is_Health Care_scaled,is_Enterprise Software_scaled,is_Clean Technology_scaled,is_Hardware + Software_scaled,is_Semiconductors_scaled,is_Curated Web_scaled,is_Mobile_scaled,is_Web Hosting_scaled,is_Series_A_scaled,is_Series_B_scaled,is_Series_C_scaled,is_Series_D_scaled,mean_neg_scaled,mean_pos_scaled,total_neg_scaled,total_pos_scaled,Series_Amount_scaled
0,1stdibs,_Series_C,230,134,15000000,Semiconductors,213,13,7,1.863849765,1.521126761,0.957746479,1.098591549,130.5164319,0.9342723,1.093896714,0.840375587,0.436619718,0.145539906,5.780192121,7.009816207,1.087275716,1.882052244,38.45146368,1.079569735,1.876018045,0.458529077,0.515762699,0.353475086,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.038289746,0.068850256,0.010989011,0.082417582,5.593977464276878,14.595224163961058,11.377463277072742,2.844533584102567,2.1178258435066115,0.27907524000465705,0.44264376276670286,0.5245929147822566,0.4553104837006093,49.36021352551979,0.5056497630575528,0.4479531495426636,0.7784543819149071,0.13722486618116234,0.07614395592401085,0.6239270114523777,0.9757813905821036,0.5783686827292429,1.1759402670920018,1.5529913992226454,0.5721336890580467,1.2039893005493203,1.4870308310750406,0.42854311013057256,0.24825015167565528,0.0,0.0,0.0,0.0,0.0,0.0,0.009547481562854952,0.0,0.0,0.0,0.0,0.0,0.16523094902226254,0.0,0.04424421226938035,0.08945483052104702,0.01145103071956448,0.11285585296362216,16.523560759066484
1,2tor,_Series_C,10,32,32500000,,162,98,42,0.061728395,0.197530864,0.956790123,0.574074074,108.6234568,0.864197531,0.574074074,0.697530864,0.185185185,0.0,0.328583597,0.648356797,1.28705338,0.648031473,34.01150982,1.268373893,0.648031473,0.48696686,0.389652213,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.018364298,0.042563833,0.0,0.060606061,2.427016045016079,7.39181109111562,10.359695620772488,5.242108516331391,3.8880294191168816,0.05404809279753781,0.1532672559210877,0.5243014567021701,0.3329457749132906,42.93585843002293,0.48419332541181476,0.32973439898252876,0.6531868188513327,0.10195521488640613,0.0,0.23088936185133702,0.40718378812041445,0.6319698029682671,0.5247825591117241,1.5373599789429613,0.6224846700619785,0.5310897554064224,1.6944520254060758,0.3369223442901956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16523094902226254,0.0,0.019675471068071812,0.04999152708719791,0.0,0.07628038688659879,17.296750647299966
2,365Scores,_Series_B,15,23,5500000,Apps,163,1,1,0.09202454,0.141104294,0.582822086,1.515337423,181.8957055,0.552147239,1.490797546,0.914110429,0.18404908,0.049079755,0.348006952,0.656188965,0.822642167,1.113086179,43.44566828,0.771029248,1.09074727,0.302229841,0.388718436,0.21670031,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.019701217,0.046835995,0.006329114,0.006329114,2.8115704207269596,6.238105291897368,10.381803605605363,0.7068073283623624,0.6973775382363225,0.07578706682816924,0.11710566322093076,0.3868535980350042,0.5100379201158832,63.4614005143036,0.36717384682175824,0.49879342189641446,0.8422334111016271,0.10164314123030867,0.03845617642563817,0.24022513128590883,0.4102771434331187,0.492441423230619,0.8056086031813168,1.567584222778778,0.47057548440850333,0.8075574812162213,0.6604053850842396,0.33621779971192167,0.17222297214612067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4293003506997334,0.0,0.0,0.02121465149708897,0.05591491063621986,0.006480833499139838,0.006480833499139838,15.520258650202699
4,6fusion,_Series_B,2,28,7000000,Hardware + Software,177,251,131,0.011299435,0.15819209,0.593220339,0.468926554,108.6214689,0.564971751,0.463276836,0.576271186,0.384180791,0.050847458,0.105996385,0.462027532,0.894147208,0.78363625,32.63413216,0.896656748,0.776103684,0.539467009,0.487780841,0.22030935,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.021415361,0.037836936,0.0,0.0,1.1046983441282212,6.906560942622847,10.68121439648745,6.483589556542268,5.097975436029336,0.011018472750655569,0.1285882124424753,0.3914410429892593,0.29515683482232735,42.93526097212731,0.3728279648718691,0.2905183428118826,0.5449321586752711,0.13340278728578328,0.03951353195181018,0.0934373343955571,0.3246085374110208,0.5176454960367163,0.6126416980012303,1.5318651560831005,0.5153204622513128,0.6163358266155556,2.1348576983873846,0.4087938742375482,0.17448851505002425,0.0,0.0,0.0,0.0,0.0,0.007637985779689914,0.0,0.0,0.0,0.0,0.0,0.4293003506997334,0.0,0.0,0.02321031410981646,0.04364560357752891,0.0,0.0,15.761420707019587
5,6sense,_Series_A,42,43,12000000,Invest Online,215,47,24,0.195348837,0.241860465,0.646511628,0.497674419,104.4976744,0.595348837,0.451162791,0.181395349,0.102325581,0.0,0.55448616,1.066532629,0.782802549,1.167609662,74.45721813,0.748192054,1.06612498,0.386244689,0.303783288,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.032786901,0.070523441,0.016216216,0.113513514,3.8331762708364834,8.56307674259547,11.413491394904145,4.323968999218034,3.311470097086363,0.13279185253858505,0.17844539206431725,0.41414501340883375,0.30613352504661073,41.689800498512305,0.38588565965440735,0.285775124721072,0.17786212936856416,0.07177689994524426,0.0,0.32177672133564694,0.5416853261898598,0.4776639413229459,0.8351684448306369,1.6217717694349927,0.461855782866454,0.7934121050879274,1.0451525307752993,0.2703685434624713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2106572423632038,0.0,0.0,0.0,0.03710030648094582,0.09222276504730867,0.01723381802880358,0.17547245430092878,16.300417207752275
6,AHAlife,_Series_B,20,46,10100000,Shopping,155,19,9,0.858064516,0.864516129,1.477419355,0.206451613,115.2064516,1.432258065,0.180645161,0.896774194,0.083870968,0.090322581,6.114108349,4.032461495,1.456447751,0.505768981,29.27072399,1.432549969,0.476335685,0.397625967,0.278092732,0.287572508,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.022184474,0.07953645,0.01459854,0.160583942,3.0915687615860192,8.850422492109702,10.202030034613415,3.262323166138411,2.34971122376561,0.2534355807894375,0.36969606682353,0.6530138739952894,0.1644260995247407,44.899520591332106,0.624870557621154,0.14710776825780406,0.8272896153350278,0.06240992313550491,0.05888143298101966,0.6264816592563646,0.8785648053911508,0.6716009143236615,0.42611902723658496,1.5168363053494054,0.6607957344249196,0.40854925753797805,1.1072754634379842,0.2497267533378444,0.21399196289087327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4293003506997334,0.0,0.0,0.024113908758716954,0.10770059318927062,0.015420345017884363,0.29879284191511735,16.12804598181149
9,Abiquo,_Series_A,11,6,2050000,-,167,225,85,0.065868263,0.035928144,1.017964072,0.461077844,94.47305389,1.017964072,0.449101796,0.413173653,0.299401198,0.125748503,0.293251908,0.394116605,1.253780086,1.010478254,35.94872761,1.253780086,0.991886863,0.505934766,0.459373199,0.332562898,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.020209279,0.071926534,0.0,0.131578947,2.516188303567096,2.898452689423742,10.46924019424944,6.335520277753742,4.63296149854004,0.057183765732131256,0.03416917318733904,0.5424514352212243,0.29206812316306435,38.60865459741462,0.5294681868235505,0.2849583103444662,0.39623584519588706,0.1242990508059308,0.070957812373566,0.2129979891946929,0.2894633723870445,0.6235993120250097,0.7482742413798263,1.5445408126587135,0.6188499681398031,0.7499749516515964,1.844586312440877,0.38841580337779197,0.23781123976317708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2106572423632038,0.0,0.0,0.0,0.021803544238648175,0.09456894093368537,0.0,0.2183478214305729,14.53335035111459
10,Achievers,_Series_A,4,0,4700000,Technology,153,422,168,0.026143791,0.0,0.241830065,0.013071895,100.6862745,0.235294118,0.0,0.352941176,0.0,0.0,0.160086836,0.0,0.459206177,0.113955676,35.48822462,0.455445211,0.0,0.479454024,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.062574405,0.033688447,0.125,0.0,1.622521901834991,0.0,10.156012572821469,7.200388432894314,5.3677496066781725,0.02467900494090207,0.0,0.19950223568928216,0.012866317422450944,40.52756419911633,0.193507181491762,0.0,0.34033745627329165,0.0,0.0,0.13298191303262144,0.0,0.3330574902260624,0.10906338628298273,1.5428879130394109,0.3298308639607614,0.0,1.6376445818218879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2106572423632038,0.0,0.0,0.0,0.07935689169005544,0.03825135764176137,0.20213421945177998,0.0,15.363073066680286
12,Acumatica,_Series_C,42,71,10000000,Developer Tools,178,39,19,0.235955056,0.45505618,1.112359551,0.595505618,112.3595506,1.033707865,0.58988764,0.685393258,0.08988764,0.140449438,0.552804292,1.068661049,1.381379007,1.010890988,34.33640396,1.385554515,1.011408923,0.489332663,0.286827551,0.348432844,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.043922479,0.076601414,0.0,0.1,3.8331762708364834,10.89583858169386,10.701917687120742,4.09855367723416,3.075828112228638,0.1496999387713982,0.27039497894148246,0.5686248022137892,0.3399071062731475,44.053899930239744,0.5337463640776917,0.3347807114183571,0.6424331829597989,0.06559739433552872,0.07489953803206251,0.321221266802872,0.5422405156125784,0.6546237440802922,0.748509533907604,1.5386071059302395,0.6502888102336399,0.7615147073136388,1.7126482285375837,0.25678456063059263,0.24576805430606732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16523094902226254,0.0,0.05185570381782245,0.10255353320592336,0.0,0.14662797948349038,16.11809565095832
13,AdMeld,_Series_C,7,42,15000000,-,177,136,63,0.039548023,0.237288136,0.751412429,0.333333333,105.4180791,0.644067797,0.327683616,0.525423729,0.152542373,0.118644068,0.246834089,0.564246774,1.074133231,0.645497224,39.39723846,1.04058624,0.644003592,0.500769823,0.360565811,0.324286582,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.020985861,0.041653745,0.0,0.076923077,2.10131769391824,8.464627889371553,10.68121439648745,5.666410755827145,4.314315498545317,0.03627382558806362,0.17596689814920366,0.45524409346696215,0.23546408993160178,41.96884360159817,0.40589606876759016,0.2311822559772732,0.49897226316455406,0.09200353360149872,0.06884991287778681,0.18753832196095388,0.37216296493758094,0.5745395552480379,0.5230860597515776,1.5559701368351206,0.5607548687843058,0.5283285035428533,1.8027335586735773,0.3147833236734979,0.2335724291302609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16523094902226254,0.0,0.022707922421941577,0.048752921990413575,0.0,0.10311252423683483,16.523560759066484
