,Names,Series_Amount,Series_Date,Series_Type
2,Visualead,"$1,600,000","Aug 15, 2013",Series_A
5,filmloop,"$5,600,000","Feb  1, 2005",Series_A
6,Mochi-Media,"$4,000,000","Mar 12, 2008",Series_A
7,SkyRecon-Systems,"$3,730,000","Sep 12, 2005",Series_A
8,Lumos-Labs,"$3,100,000","Jun  3, 2008",Series_A
9,ROBLOX,"$2,200,000","Aug 14, 2009",Series_A
10,SendHub,"$3,000,000","Sep  6, 2013",Series_A
11,Health-Guru-Media,"$250,000","Jan  1, 2007",Series_A
13,White-Sky,"$5,000,000","Sep 26, 2006",Series_A
14,Forus-Health,"$5,000,000","Apr 27, 2012",Series_A
16,UberMedia,"$3,500,000","Apr 11, 2010",Series_A
20,Dailymotion,"$9,500,000","Aug  1, 2006",Series_A
21,Pernixdata,"$7,000,000","Jan  1, 2012",Series_A
22,Divante,"$850,000","Mar  1, 2013",Series_A
23,Message-Systems,"$6,000,000","Mar 25, 2010",Series_A
24,ParStream,"$5,600,000","Aug 14, 2012",Series_A
25,Mashable,"$13,300,000","Jan  6, 2014",Series_A
34,The-Clymb,"$2,000,000","Jun 29, 2011",Series_A
35,Syncbak,"$1,600,000","Apr  1, 2010",Series_A
38,HoneyBook,"$10,000,000","Sep 22, 2014",Series_A
41,Prime-Sense,"$9,000,000","Aug  8, 2006",Series_A
42,NABsys,"$4,000,000","May  5, 2009",Series_A
45,Lantos-Technologies,"$1,600,000","Sep 16, 2010",Series_A
47,Stackdriver,"$5,025,000","Sep 21, 2012",Series_A
48,5Min-Media,"$5,000,000","Nov  1, 2007",Series_A
49,Woven-Systems,"$10,000,000","Dec  1, 2005",Series_A
50,Brandwatch,"$1,500,000","Nov  1, 2010",Series_A
51,Duetto,"$10,100,000","Dec 11, 2012",Series_A
52,Teneros,"$7,000,000","Jul  1, 2004",Series_A
53,DREAMLINES,"$2,750,000","Aug  1, 2012",Series_A
55,Samsoft,"$1,520,000","Feb 17, 2015",Series_A
56,VisibleBrands,"$4,600,000","Apr  4, 2013",Series_A
62,Elastra,"$2,600,000","Aug 15, 2007",Series_A
64,Open-Xchange,"$8,800,000","Jan  1, 2006",Series_A
66,eYeka,"$5,000,000","Mar  1, 2006",Series_A
68,Ziqitza-Health-Care,"$1,500,000","Mar  8, 2007",Series_A
69,Carnegie-Speech,"$2,200,000","Oct  5, 2009",Series_A
76,GameGround,"$4,100,000","Jun  1, 2009",Series_A
78,Digabit,"$3,000,000","Jul 30, 2013",Series_A
79,Goodguide,"$3,730,000","Jan 19, 2009",Series_A
80,Fix8,"$3,000,000","Oct  1, 2007",Series_A
81,ClearSlide,"$11,000,000","Sep 28, 2011",Series_A
84,Vivox,"$6,000,000","Sep 19, 2005",Series_A
89,Scale-Computing,"$3,000,000","May 29, 2009",Series_A
90,Guidespark,"$5,000,000","Aug 27, 2013",Series_A
93,ScrollMotion,"$1,900,000","Nov 12, 2010",Series_A
96,BelAir-Networks,"$2,000,000","Mar 23, 2004",Series_A
97,LendKey-Technologies,"$6,500,000","Jan 25, 2010",Series_A
98,Ifbyphone,"$3,000,000","Jul  5, 2007",Series_A
99,Federated-Media,"$2,200,000","Mar 15, 2006",Series_A
100,Buzzwire,"$4,000,000","Jul  1, 2007",Series_A
102,Webvanta,"$1,000,000","Dec 23, 2009",Series_A
105,ExtraHop-Networks,"$5,100,000","Apr 14, 2009",Series_A
106,OpenX,"$5,000,000","Jun  1, 2007",Series_A
107,UnboundID,"$2,000,000","Dec  2, 2008",Series_A
112,iPrint,"$3,300,000","Nov 10, 1997",Series_A
114,AngioSlide,"$4,000,000","Dec  1, 2006",Series_A
116,The-Filter,"$5,000,000","Aug  1, 2007",Series_A
117,Datalogix,"$15,000,000","Oct 16, 2009",Series_A
118,WellnessFX,"$1,850,000","Oct 12, 2010",Series_A
120,WuXi-AppTec,"$2,200,000","Jul  1, 2005",Series_A
121,Coho-Data,"$10,000,000","Aug 23, 2012",Series_A
123,NationBuilder,"$6,250,000","Mar  8, 2012",Series_A
124,Vobile,"$10,000,000","Nov  1, 2007",Series_A
126,Balluun,"$3,300,000","Nov 10, 2012",Series_A
127,Hookipa-Biotech,"$9,600,000","Oct 18, 2011",Series_A
132,Twist-Bioscience,"$9,100,000","Feb 10, 2014",Series_A
133,HookLogic,"$9,500,000","Sep  9, 2011",Series_A
134,RadiumOne,"$12,500,000","Dec  1, 2009",Series_A
135,Little-Black-Bag,"$2,800,000","Feb  2, 2012",Series_A
136,Pinpoint-Software,"$125,000","Oct 15, 2011",Series_A
139,Reachable,"$3,200,000","Sep  1, 2008",Series_A
144,Deliveroo,"$4,600,000","Jun 26, 2014",Series_A
146,Loxo-Oncology,"$33,000,000","Oct  3, 2013",Series_A
148,Wonga,"$6,000,000","Jun  1, 2007",Series_A
155,Glycos-Biotechnologies,"$5,000,000","May  5, 2009",Series_A
160,Wize,"$4,000,000","Jan  1, 2007",Series_A
163,Birchbox,"$10,500,000","Aug 17, 2011",Series_A
164,AutekBio,"$1,100,000","Aug  7, 2007",Series_A
165,Dxterity,"$56,300","Oct 14, 2009",Series_A
167,Yipit,"$1,300,000","Jun  6, 2010",Series_A
169,TravelBird,"$5,600,000","Mar 26, 2014",Series_A
171,QuantiaMD,"$12,000,000","Oct 30, 2012",Series_A
180,Boxfish,"$3,000,000","Jul 30, 2011",Series_A
185,PanOptica,"$30,000,000","Jan  4, 2011",Series_A
186,Authentium,"$15,000,000","Apr 25, 2006",Series_A
187,Aristotle-Circle,"$450,000","Aug 19, 2010",Series_A
188,TeamPages,"$500,000","Nov  1, 2007",Series_A
190,Xeris-Pharmaceuticals,"$1,500,000","Dec 12, 2011",Series_A
195,Kiip,"$4,000,000","Apr  6, 2011",Series_A
