,Company,Series,Total_Likes,Total_Retweets,Avg_Tweets,Series_Amount,Series_Date
0,Visualead,Series_A,,,,1600000,"Aug 15, 2013"
1,filmloop,Series_A,,,,5600000,"Feb  1, 2005"
2,Mochi-Media,Series_A,,,,4000000,"Mar 12, 2008"
3,SkyRecon-Systems,Series_A,,,,3730000,"Sep 12, 2005"
4,Lumos-Labs,Series_A,,,,3100000,"Jun  3, 2008"
5,ROBLOX,Series_A,,,,2200000,"Aug 14, 2009"
6,SendHub,Series_A,,,,3000000,"Sep  6, 2013"
7,Health-Guru-Media,Series_A,,,,250000,"Jan  1, 2007"
8,White-Sky,Series_A,,,,5000000,"Sep 26, 2006"
9,Forus-Health,Series_A,,,,5000000,"Apr 27, 2012"
10,UberMedia,Series_A,,,,3500000,"Apr 11, 2010"
11,Dailymotion,Series_A,,,,9500000,"Aug  1, 2006"
12,Pernixdata,Series_A,,,,7000000,"Jan  1, 2012"
13,Divante,Series_A,,,,850000,"Mar  1, 2013"
14,Message-Systems,Series_A,,,,6000000,"Mar 25, 2010"
15,ParStream,Series_A,,,,5600000,"Aug 14, 2012"
16,Mashable,Series_A,,,,13300000,"Jan  6, 2014"
17,The-Clymb,Series_A,,,,2000000,"Jun 29, 2011"
18,Syncbak,Series_A,,,,1600000,"Apr  1, 2010"
19,HoneyBook,Series_A,,,,10000000,"Sep 22, 2014"
20,Prime-Sense,Series_A,,,,9000000,"Aug  8, 2006"
21,NABsys,Series_A,,,,4000000,"May  5, 2009"
22,Lantos-Technologies,Series_A,,,,1600000,"Sep 16, 2010"
23,Stackdriver,Series_A,,,,5025000,"Sep 21, 2012"
24,5Min-Media,Series_A,,,,5000000,"Nov  1, 2007"
25,Woven-Systems,Series_A,,,,10000000,"Dec  1, 2005"
26,Brandwatch,Series_A,,,,1500000,"Nov  1, 2010"
27,Duetto,Series_A,,,,10100000,"Dec 11, 2012"
28,Teneros,Series_A,,,,7000000,"Jul  1, 2004"
29,DREAMLINES,Series_A,,,,2750000,"Aug  1, 2012"
30,Samsoft,Series_A,,,,1520000,"Feb 17, 2015"
31,VisibleBrands,Series_A,,,,4600000,"Apr  4, 2013"
32,Elastra,Series_A,,,,2600000,"Aug 15, 2007"
33,Open-Xchange,Series_A,,,,8800000,"Jan  1, 2006"
34,eYeka,Series_A,,,,5000000,"Mar  1, 2006"
35,Ziqitza-Health-Care,Series_A,,,,1500000,"Mar  8, 2007"
36,Carnegie-Speech,Series_A,,,,2200000,"Oct  5, 2009"
37,GameGround,Series_A,,,,4100000,"Jun  1, 2009"
38,Digabit,Series_A,,,,3000000,"Jul 30, 2013"
39,Goodguide,Series_A,,,,3730000,"Jan 19, 2009"
40,Fix8,Series_A,,,,3000000,"Oct  1, 2007"
41,ClearSlide,Series_A,,,,11000000,"Sep 28, 2011"
42,Vivox,Series_A,,,,6000000,"Sep 19, 2005"
43,Scale-Computing,Series_A,,,,3000000,"May 29, 2009"
44,Guidespark,Series_A,,,,5000000,"Aug 27, 2013"
45,ScrollMotion,Series_A,,,,1900000,"Nov 12, 2010"
46,BelAir-Networks,Series_A,,,,2000000,"Mar 23, 2004"
47,LendKey-Technologies,Series_A,,,,6500000,"Jan 25, 2010"
48,Ifbyphone,Series_A,,,,3000000,"Jul  5, 2007"
49,Federated-Media,Series_A,,,,2200000,"Mar 15, 2006"
50,Buzzwire,Series_A,,,,4000000,"Jul  1, 2007"
51,Webvanta,Series_A,,,,1000000,"Dec 23, 2009"
52,ExtraHop-Networks,Series_A,,,,5100000,"Apr 14, 2009"
53,OpenX,Series_A,,,,5000000,"Jun  1, 2007"
54,UnboundID,Series_A,,,,2000000,"Dec  2, 2008"
55,iPrint,Series_A,,,,3300000,"Nov 10, 1997"
56,AngioSlide,Series_A,,,,4000000,"Dec  1, 2006"
57,The-Filter,Series_A,,,,5000000,"Aug  1, 2007"
58,Datalogix,Series_A,,,,15000000,"Oct 16, 2009"
59,WellnessFX,Series_A,,,,1850000,"Oct 12, 2010"
60,WuXi-AppTec,Series_A,,,,2200000,"Jul  1, 2005"
61,Coho-Data,Series_A,,,,10000000,"Aug 23, 2012"
62,NationBuilder,Series_A,,,,6250000,"Mar  8, 2012"
63,Vobile,Series_A,,,,10000000,"Nov  1, 2007"
64,Balluun,Series_A,,,,3300000,"Nov 10, 2012"
65,Hookipa-Biotech,Series_A,,,,9600000,"Oct 18, 2011"
66,Twist-Bioscience,Series_A,,,,9100000,"Feb 10, 2014"
67,HookLogic,Series_A,,,,9500000,"Sep  9, 2011"
68,RadiumOne,Series_A,,,,12500000,"Dec  1, 2009"
69,Little-Black-Bag,Series_A,,,,2800000,"Feb  2, 2012"
70,Pinpoint-Software,Series_A,,,,125000,"Oct 15, 2011"
71,Reachable,Series_A,,,,3200000,"Sep  1, 2008"
72,Deliveroo,Series_A,,,,4600000,"Jun 26, 2014"
73,Loxo-Oncology,Series_A,,,,33000000,"Oct  3, 2013"
74,Wonga,Series_A,,,,6000000,"Jun  1, 2007"
75,Glycos-Biotechnologies,Series_A,,,,5000000,"May  5, 2009"
76,Wize,Series_A,,,,4000000,"Jan  1, 2007"
77,Birchbox,Series_A,,,,10500000,"Aug 17, 2011"
78,AutekBio,Series_A,,,,1100000,"Aug  7, 2007"
79,Dxterity,Series_A,,,,56300,"Oct 14, 2009"
80,Yipit,Series_A,,,,1300000,"Jun  6, 2010"
81,TravelBird,Series_A,,,,5600000,"Mar 26, 2014"
82,QuantiaMD,Series_A,,,,12000000,"Oct 30, 2012"
83,Boxfish,Series_A,,,,3000000,"Jul 30, 2011"
84,PanOptica,Series_A,,,,30000000,"Jan  4, 2011"
85,Authentium,Series_A,,,,15000000,"Apr 25, 2006"
86,Aristotle-Circle,Series_A,,,,450000,"Aug 19, 2010"
87,TeamPages,Series_A,,,,500000,"Nov  1, 2007"
88,Xeris-Pharmaceuticals,Series_A,,,,1500000,"Dec 12, 2011"
89,Kiip,Series_A,,,,4000000,"Apr  6, 2011"
90,Mosaic,Series_A,,,,3500000,"May 31, 2012"
91,AML-Superconductivity-and-Magnetics,Series_A,,,,1000000,"Jun  1, 2008"
92,GridGain-Systems,Series_A,,,,2500000,"Dec  5, 2011"
93,Neo-Technology,Series_A,,,,10600000,"Sep 21, 2011"
94,Cozi-Group,Series_A,,,,3300000,"Dec  1, 2005"
95,Livingly-Media,Series_A,,,,6800000,"Aug  1, 2007"
96,Artwise,Series_A,,,,1000000,"Oct 30, 2011"
97,Paymetric,Series_A,,,,7000000,"Jan 26, 2005"
98,iProf-Learning-Solutions-India,Series_A,,,,6000000,"Mar  1, 2011"
99,Oraya-Therapeutics,Series_A,,,,4000000,"Jun 18, 2007"
100,ShopIgniter,Series_A,,,,3000000,"Mar  3, 2010"
101,Become,Series_A,,,,4500000,"Sep  1, 2004"
102,Contrafect,Series_A,,,,2200000,"Oct 26, 2010"
103,Optify,Series_A,,,,2750000,"Oct 10, 2008"
104,MediaBoost,Series_A,,,,1500000,"Aug 19, 2007"
105,House-Party,Series_A,,,,1250000,"Jan  1, 2006"
106,Mig33,Series_A,,,,10000000,"May  7, 2007"
107,NatureBox,Series_A,,,,8500000,"Jul 23, 2013"
108,Milyoni,Series_A,,,,3000000,"May 25, 2011"
109,ShapeUp,Series_A,,,,5000000,"Aug 16, 2010"
110,Poshmark,Series_A,,,,3500000,"Feb  1, 2011"
111,Stitch-Fix,Series_A,,,,4750000,"Feb 28, 2013"
112,HelloWallet,Series_A,,,,3600000,"May  6, 2010"
113,Immune-Design,Series_A,,,,18000000,"Jul  7, 2008"
114,QualVu,Series_A,,,,750000,"Feb 12, 2008"
115,Garlik,Series_A,,,,5400000,"Apr 24, 2006"
116,Docstoc,Series_A,,,,750000,"Nov  1, 2007"
117,Placeiq,Series_A,,,,4200000,"Dec 12, 2011"
118,Chartboost,Series_A,,,,2000000,"Oct  1, 2011"
119,Liquid-Robotics,Series_A,,,,2000000,"Jul 25, 2007"
120,Zynstra,Series_A,,,,3800000,"Sep 12, 2013"
121,Stellaris,Series_A,,,,6000000,"Dec  1, 2007"
122,Widgetbox,Series_A,,,,5000000,"Jun  1, 2007"
123,Worktopia,Series_A,,,,5000000,"Oct  1, 2007"
124,Guardian-Analytics,Series_A,,,,1300000,"Jan  1, 2006"
125,Healthline-Networks,Series_A,,,,14000000,"Jan  1, 2006"
126,Getaround,Series_A,,,,3400000,"Sep  9, 2011"
127,Cirtas-Systems,Series_A,,,,10000000,"Sep 20, 2010"
